line,station,ID
3호선,지축,3호선지축
5호선,미사,5호선미사
5호선,하남풍산,5호선하남풍산
7호선,광명사거리,7호선광명사거리
7호선,굴포천,7호선굴포천
7호선,까치울,7호선까치울
7호선,부천시청,7호선부천시청
7호선,부천종합운동장,7호선부천종합운동장
7호선,부평구청,7호선부평구청
7호선,삼산체육관,7호선삼산체육관
7호선,상동,7호선상동
7호선,신중동,7호선신중동
7호선,장암,7호선장암
7호선,철산,7호선철산
7호선,춘의,7호선춘의
8호선,남한산성입구,8호선남한산성입구
8호선,단대오거리,8호선단대오거리
8호선,모란,8호선모란
8호선,산성,8호선산성
8호선,수진,8호선수진
8호선,신흥,8호선신흥
경강선,경기광주,경강선경기광주
경강선,곤지암,경강선곤지암
경강선,부발,경강선부발
경강선,삼동,경강선삼동
경강선,세종대왕릉,경강선세종대왕릉
경강선,신둔도예촌,경강선신둔도예촌
경강선,여주,경강선여주
경강선,이매,경강선이매
경강선,이천,경강선이천
경강선,초월,경강선초월
경강선,판교,경강선판교
경부선,관악,경부선관악
경부선,광명,경부선광명
경부선,군포,경부선군포
경부선,금정,경부선금정
경부선,당정,경부선당정
경부선,두정,경부선두정
경부선,명학,경부선명학
경부선,병점,경부선병점
경부선,서동탄,경부선서동탄
경부선,서정리,경부선서정리
경부선,석수,경부선석수
경부선,성균관대,경부선성균관대
경부선,성환,경부선성환
경부선,세류,경부선세류
경부선,세마,경부선세마
경부선,송탄,경부선송탄
경부선,수원,경부선수원
경부선,안양,경부선안양
경부선,오산,경부선오산
경부선,오산대,경부선오산대
경부선,의왕,경부선의왕
경부선,지제,경부선지제
경부선,직산,경부선직산
경부선,진위,경부선진위
경부선,천안,경부선천안
경부선,평택,경부선평택
경부선,화서,경부선화서
경원선,가능,경원선가능
경원선,녹양,경원선녹양
경원선,덕계,경원선덕계
경원선,덕정,경원선덕정
경원선,동두천,경원선동두천
경원선,동두천중앙,경원선동두천중앙
경원선,망월사,경원선망월사
경원선,보산,경원선보산
경원선,소요산,경원선소요산
경원선,양주,경원선양주
경원선,의정부,경원선의정부
경원선,지행,경원선지행
경원선,회룡,경원선회룡
경의중앙선,강매,경의중앙선강매
경의중앙선,계양,경의중앙선계양
경의중앙선,곡산,경의중앙선곡산
경의중앙선,금릉,경의중앙선금릉
경의중앙선,금촌,경의중앙선금촌
경의중앙선,능곡,경의중앙선능곡
경의중앙선,문산,경의중앙선문산
경의중앙선,백마,경의중앙선백마
경의중앙선,야당,경의중앙선야당
경의중앙선,운정,경의중앙선운정
경의중앙선,월롱,경의중앙선월롱
경의중앙선,일산,경의중앙선일산
경의중앙선,임진강,경의중앙선임진강
경의중앙선,탄현,경의중앙선탄현
경의중앙선,파주,경의중앙선파주
경의중앙선,풍산,경의중앙선풍산
경의중앙선,행신,경의중앙선행신
경의중앙선,화전,경의중앙선화전
경인선,간석,경인선간석
경인선,도원,경인선도원
경인선,도화,경인선도화
경인선,동암,경인선동암
경인선,동인천,경인선동인천
경인선,백운,경인선백운
경인선,부개,경인선부개
경인선,부천,경인선부천
경인선,부평,경인선부평
경인선,소사,경인선소사
경인선,송내,경인선송내
경인선,역곡,경인선역곡
경인선,인천,경인선인천
경인선,제물포,경인선제물포
경인선,주안,경인선주안
경인선,중동,경인선중동
경춘선,가평,경춘선가평
경춘선,갈매,경춘선갈매
경춘선,강촌,경춘선강촌
경춘선,굴봉산,경춘선굴봉산
경춘선,금곡,경춘선금곡
경춘선,김유정,경춘선김유정
경춘선,남춘천,경춘선남춘천
경춘선,대성리,경춘선대성리
경춘선,마석,경춘선마석
경춘선,백양리,경춘선백양리
경춘선,별내,경춘선별내
경춘선,사릉,경춘선사릉
경춘선,상천,경춘선상천
경춘선,천마산,경춘선천마산
경춘선,청평,경춘선청평
경춘선,춘천,경춘선춘천
경춘선,퇴계원,경춘선퇴계원
경춘선,평내호평,경춘선평내호평
공항철도,검암,공항철도검암
공항철도,계양,공항철도계양
공항철도,공항화물청사,공항철도공항화물청사
공항철도,영종,공항철도영종
공항철도,운서,공항철도운서
공항철도,인천공항1터미널,공항철도인천공항1터미널
공항철도,인천공항2터미널,공항철도인천공항2터미널
공항철도,청라국제도시,공항철도청라국제도시
과천선,경마공원,과천선경마공원
과천선,과천,과천선과천
과천선,대공원,과천선대공원
과천선,범계,과천선범계
과천선,선바위,과천선선바위
과천선,인덕원,과천선인덕원
과천선,정부과천청사,과천선정부과천청사
과천선,평촌,과천선평촌
수인분당선,가천대,수인분당선가천대
수인분당선,구성,수인분당선구성
수인분당선,기흥,수인분당선기흥
수인분당선,망포,수인분당선망포
수인분당선,매교,수인분당선매교
수인분당선,매탄권선,수인분당선매탄권선
수인분당선,모란,수인분당선모란
수인분당선,미금,수인분당선미금
수인분당선,보정,수인분당선보정
수인분당선,상갈,수인분당선상갈
수인분당선,서현,수인분당선서현
수인분당선,수내,수인분당선수내
수인분당선,수원,수인분당선수원
수인분당선,수원시청,수인분당선수원시청
수인분당선,신갈,수인분당선신갈
수인분당선,야탑,수인분당선야탑
수인분당선,영통,수인분당선영통
수인분당선,오리,수인분당선오리
수인분당선,이매,수인분당선이매
수인분당선,정자,수인분당선정자
수인분당선,죽전,수인분당선죽전
수인분당선,청명,수인분당선청명
수인분당선,태평,수인분당선태평
수인분당선,고색,수인분당선고색
수인분당선,남동인더스파크,수인분당선남동인더스파크
수인분당선,달월,수인분당선달월
수인분당선,사리,수인분당선사리
수인분당선,소래포구,수인분당선소래포구
수인분당선,송도,수인분당선송도
수인분당선,숭의,수인분당선숭의
수인분당선,신포,수인분당선신포
수인분당선,야목,수인분당선야목
수인분당선,어천,수인분당선어천
수인분당선,연수,수인분당선연수
수인분당선,오목천,수인분당선오목천
수인분당선,원인재,수인분당선원인재
수인분당선,월곶,수인분당선월곶
수인분당선,인천,수인분당선인천
수인분당선,인천논현,수인분당선인천논현
수인분당선,인하대,수인분당선인하대
수인분당선,호구포,수인분당선호구포
안산선,고잔,안산선고잔
안산선,대야미,안산선대야미
안산선,반월,안산선반월
안산선,산본,안산선산본
안산선,상록수,안산선상록수
안산선,수리산,안산선수리산
안산선,신길온천,안산선신길온천
안산선,안산,안산선안산
안산선,오이도,안산선오이도
안산선,정왕,안산선정왕
안산선,중앙,안산선중앙
안산선,초지,안산선초지
안산선,한대앞,안산선한대앞
일산선,대곡,일산선대곡
일산선,대화,일산선대화
일산선,마두,일산선마두
일산선,백석,일산선백석
일산선,삼송,일산선삼송
일산선,원당,일산선원당
일산선,원흥,일산선원흥
일산선,정발산,일산선정발산
일산선,주엽,일산선주엽
일산선,지축,일산선지축
일산선,화정,일산선화정
장항선,배방,장항선배방
장항선,봉명,장항선봉명
장항선,신창,장항선신창
장항선,쌍용,장항선쌍용
장항선,아산,장항선아산
장항선,온양온천,장항선온양온천
경의중앙선,구리,경의중앙선구리
경의중앙선,국수,경의중앙선국수
경의중앙선,덕소,경의중앙선덕소
경의중앙선,도농,경의중앙선도농
경의중앙선,도심,경의중앙선도심
경의중앙선,신원,경의중앙선신원
경의중앙선,아신,경의중앙선아신
경의중앙선,양수,경의중앙선양수
경의중앙선,양정,경의중앙선양정
경의중앙선,양평,경의중앙선양평
경의중앙선,오빈,경의중앙선오빈
경의중앙선,용문,경의중앙선용문
경의중앙선,운길산,경의중앙선운길산
경의중앙선,원덕,경의중앙선원덕
경의중앙선,지평,경의중앙선지평
경의중앙선,팔당,경의중앙선팔당
