station,line,gu
동대문,1호선,종로구
동묘앞,1호선,종로구
서울역,1호선,중구
시청,1호선,중구
신설동,1호선,동대문구
제기동,1호선,동대문구
종각,1호선,종로구
종로3가,1호선,종로구
종로5가,1호선,종로구
청량리,1호선,동대문구
강남,2호선,강남구
강변,2호선,광진구
건대입구,2호선,광진구
교대,2호선,서초구
구로디지털단지,2호선,구로구
구의,2호선,광진구
까치산,2호선,강서구
낙성대,2호선,관악구
당산,2호선,영등포구
대림,2호선,구로구
도림천,2호선,구로구
동대문역사문화공원,2호선,중구
뚝섬,2호선,성동구
문래,2호선,영등포구
방배,2호선,서초구
봉천,2호선,관악구
사당,2호선,동작구
삼성,2호선,강남구
상왕십리,2호선,성동구
서울대입구,2호선,관악구
서초,2호선,서초구
선릉,2호선,강남구
성수,2호선,성동구
시청,2호선,중구
신답,2호선,성동구
신당,2호선,중구
신대방,2호선,동작구
신도림,2호선,구로구
신림,2호선,관악구
신설동,2호선,동대문구
신정네거리,2호선,양천구
신촌,2호선,마포구
아현,2호선,마포구
양천구청,2호선,양천구
역삼,2호선,강남구
영등포구청,2호선,영등포구
왕십리,2호선,성동구
용답,2호선,성동구
용두,2호선,동대문구
을지로3가,2호선,중구
을지로4가,2호선,중구
을지로입구,2호선,중구
이대,2호선,마포구
잠실,2호선,송파구
잠실나루,2호선,송파구
잠실새내,2호선,송파구
종합운동장,2호선,송파구
충정로,2호선,서대문구
한양대,2호선,성동구
합정,2호선,마포구
홍대입구,2호선,마포구
가락시장,3호선,송파구
경복궁,3호선,종로구
경찰병원,3호선,송파구
고속터미널,3호선,서초구
교대,3호선,서초구
구파발,3호선,은평구
금호,3호선,성동구
남부터미널,3호선,서초구
녹번,3호선,은평구
대청,3호선,강남구
대치,3호선,강남구
도곡,3호선,강남구
독립문,3호선,서대문구
동대입구,3호선,중구
매봉,3호선,강남구
무악재,3호선,서대문구
불광,3호선,은평구
수서,3호선,강남구
신사,3호선,강남구
안국,3호선,종로구
압구정,3호선,강남구
약수,3호선,중구
양재,3호선,서초구
